sapsMLT sapsLat sapsVel normMLT probOcc dst_median
19.0 59.5 659.999902996 -5.0 0.334507042254 -95.0
19.0 60.5 639.242582437 -5.0 0.253521126761 -95.0
20.0 53.5 544.326362462 -4.0 0.528169014085 -95.0
20.0 54.5 672.397756448 -4.0 0.985915492958 -95.0
20.0 55.5 778.453415575 -4.0 1.0 -95.0
20.0 56.5 787.11641258 -4.0 0.855633802817 -95.0
20.0 57.5 746.440476552 -4.0 0.799295774648 -95.0
20.0 58.5 737.049181909 -4.0 0.489436619718 -95.0
20.0 59.5 678.019822083 -4.0 0.246478873239 -95.0
21.0 53.5 534.600235262 -3.0 0.545774647887 -95.0
21.0 54.5 627.652434532 -3.0 0.771126760563 -95.0
21.0 55.5 669.719211829 -3.0 0.774647887324 -95.0
21.0 56.5 730.645182343 -3.0 0.816901408451 -95.0
21.0 57.5 566.196410918 -3.0 0.609154929577 -95.0
21.0 58.5 522.283199035 -3.0 0.327464788732 -95.0
21.0 59.5 373.86899453 -3.0 0.225352112676 -95.0
22.0 53.5 483.02734216 -2.0 0.397887323944 -95.0
22.0 54.5 533.968785415 -2.0 0.549295774648 -95.0
22.0 55.5 584.938691195 -2.0 0.62676056338 -95.0
22.0 56.5 609.873150134 -2.0 0.669014084507 -95.0
22.0 57.5 482.486324563 -2.0 0.334507042254 -95.0
22.0 58.5 420.559052922 -2.0 0.281690140845 -95.0
23.0 52.5 476.156663077 -1.0 0.211267605634 -95.0
23.0 53.5 499.050819264 -1.0 0.271126760563 -95.0
23.0 54.5 394.817644396 -1.0 0.366197183099 -95.0
23.0 55.5 387.78715448 -1.0 0.260563380282 -95.0
0.0 57.5 295.683249704 0.0 0.237668161435 -18.0
0.0 58.5 308.297641752 0.0 0.376040999359 -18.0
0.0 59.5 323.950488295 0.0 0.522741832159 -18.0
0.0 60.5 340.374061917 0.0 0.550288276746 -18.0
0.0 61.5 354.766955684 0.0 0.44266495836 -18.0
0.0 62.5 341.753981545 0.0 0.256886611147 -18.0
1.0 57.5 290.967796538 1.0 0.233824471493 -18.0
1.0 58.5 315.53429305 1.0 0.379244074311 -18.0
1.0 59.5 314.799527869 1.0 0.440102498398 -18.0
1.0 60.5 309.644081256 1.0 0.398462524023 -18.0
1.0 61.5 329.83361185 1.0 0.265214606022 -18.0
2.0 58.5 302.399183335 2.0 0.264573991031 -18.0
2.0 59.5 271.598068578 2.0 0.24599615631 -18.0
2.0 60.5 265.414615072 2.0 0.203074951954 -18.0
19.0 62.5 396.25984235 -5.0 0.219730941704 -18.0
19.0 63.5 420.841708249 -5.0 0.26201153107 -18.0
19.0 64.5 420.032936272 -5.0 0.219090326714 -18.0
20.0 60.5 506.185486553 -4.0 0.283151825753 -18.0
20.0 61.5 460.668293274 -4.0 0.352978859705 -18.0
20.0 62.5 433.730196669 -4.0 0.422805893658 -18.0
20.0 63.5 434.680115908 -4.0 0.399103139013 -18.0
20.0 64.5 437.894604071 -4.0 0.274183215887 -18.0
21.0 58.5 395.512326434 -3.0 0.21268417681 -18.0
21.0 59.5 406.788209097 -3.0 0.415118513773 -18.0
21.0 60.5 446.081084951 -3.0 0.597693786035 -18.0
21.0 61.5 461.200513746 -3.0 0.695067264574 -18.0
21.0 62.5 479.446527173 -3.0 0.709160794363 -18.0
21.0 63.5 465.454351844 -3.0 0.520819987188 -18.0
21.0 64.5 433.564971171 -3.0 0.27866752082 -18.0
22.0 58.5 353.549367647 -2.0 0.358103779628 -18.0
22.0 59.5 368.781391622 -2.0 0.609224855862 -18.0
22.0 60.5 409.209361067 -2.0 0.877642536835 -18.0
22.0 61.5 426.582883436 -2.0 1.0 -18.0
22.0 62.5 434.640904359 -2.0 0.843689942345 -18.0
22.0 63.5 428.062851683 -2.0 0.444586803331 -18.0
23.0 58.5 335.055422484 -1.0 0.340807174888 -18.0
23.0 59.5 337.379393996 -1.0 0.562459961563 -18.0
23.0 60.5 362.604845356 -1.0 0.72069186419 -18.0
23.0 61.5 380.732927885 -1.0 0.680973734785 -18.0
