dateStr radId radNames timeStr
20110621 205.0 fhe 0730
20110621 33.0 bks 0730
20110621 206.0 cvw 0730
20110621 204.0 fhw 0800
20110621 207.0 cve 0800
20110621 205.0 fhe 0800
20110621 33.0 bks 0800
20110621 206.0 cvw 0800
20110621 204.0 fhw 0830
20110621 206.0 cvw 0830
20110621 207.0 cve 0830
20110621 33.0 bks 0830
20110621 205.0 fhe 0830
20110621 204.0 fhw 0900
20110621 206.0 cvw 0900
20110621 207.0 cve 0900
20110621 205.0 fhe 0900
20110622 33.0 bks 0630
20110622 205.0 fhe 0630
20110622 206.0 cvw 0630
20110622 207.0 cve 0630
20110622 204.0 fhw 0630
20110623 205.0 fhe 0630
20110623 33.0 bks 0630
20110623 204.0 fhw 0630
20110623 206.0 cvw 0630
20110623 207.0 cve 0630
20110623 33.0 bks 0700
20110623 204.0 fhw 0700
20110623 205.0 fhe 0700
20110623 206.0 cvw 0700
20110623 207.0 cve 0700
20110623 204.0 fhw 0730
20110623 33.0 bks 0730
20110623 205.0 fhe 0730
20110623 32.0 wal 0730
20110623 206.0 cvw 0730
20110624 206.0 cvw 0230
20110624 207.0 cve 0230
20110624 33.0 bks 0230
20110624 205.0 fhe 0230
20110625 33.0 bks 0600
20110625 205.0 fhe 0600
20110625 32.0 wal 0600
20110625 204.0 fhw 0600
20110625 207.0 cve 0600
20110625 205.0 fhe 0630
20110625 33.0 bks 0630
20110625 32.0 wal 0630
20110625 206.0 cvw 0630
20110625 204.0 fhw 0630
20110625 207.0 cve 0630
20110625 204.0 fhw 0700
20110625 205.0 fhe 0700
20110625 207.0 cve 0700
20110625 33.0 bks 0700
20110625 206.0 cvw 0700
20110625 204.0 fhw 0730
20110625 207.0 cve 0730
20110625 33.0 bks 0730
20110625 205.0 fhe 0730
20110625 206.0 cvw 0730
20110625 204.0 fhw 0800
20110625 207.0 cve 0800
20110625 205.0 fhe 0800
20110625 33.0 bks 0800
20110625 206.0 cvw 0800
20110701 205.0 fhe 0630
20110701 32.0 wal 0630
20110701 206.0 cvw 0630
20110701 207.0 cve 0630
20110701 204.0 fhw 0630
20110701 204.0 fhw 0700
20110701 205.0 fhe 0700
20110701 207.0 cve 0700
20110701 32.0 wal 0700
20110701 206.0 cvw 0700
20110701 204.0 fhw 0730
20110701 207.0 cve 0730
20110701 205.0 fhe 0730
20110701 32.0 wal 0730
20110701 206.0 cvw 0730
20110701 207.0 cve 0800
20110701 204.0 fhw 0800
20110701 205.0 fhe 0800
20110701 32.0 wal 0800
20110701 206.0 cvw 0800
20110701 204.0 fhw 0830
20110701 207.0 cve 0830
20110701 205.0 fhe 0830
20110701 206.0 cvw 0830
20110705 32.0 wal 0430
20110705 204.0 fhw 0430
20110705 206.0 cvw 0430
20110705 207.0 cve 0430
20110705 205.0 fhe 0430
20110705 32.0 wal 0500
20110705 206.0 cvw 0500
20110705 204.0 fhw 0500
20110705 207.0 cve 0500
20110705 205.0 fhe 0500
20110705 205.0 fhe 0530
20110705 32.0 wal 0530
20110705 206.0 cvw 0530
20110705 204.0 fhw 0530
20110705 207.0 cve 0530
20110705 205.0 fhe 0600
20110705 32.0 wal 0600
20110705 206.0 cvw 0600
20110705 204.0 fhw 0600
20110709 205.0 fhe 0600
20110709 32.0 wal 0600
20110709 204.0 fhw 0600
20110709 206.0 cvw 0600
20110709 207.0 cve 0600
20110720 205.0 fhe 0600
20110720 32.0 wal 0600
20110720 206.0 cvw 0600
20110720 204.0 fhw 0600
20110720 207.0 cve 0600
20110720 205.0 fhe 0630
20110720 207.0 cve 0630
20110720 32.0 wal 0630
20110720 206.0 cvw 0630
20110720 204.0 fhw 0630
20110720 204.0 fhw 0700
20110720 205.0 fhe 0700
20110720 207.0 cve 0700
20110720 32.0 wal 0700
20110720 206.0 cvw 0700
20110721 205.0 fhe 0600
20110721 204.0 fhw 0600
20110721 206.0 cvw 0600
20110721 207.0 cve 0600
20110722 205.0 fhe 0630
20110722 206.0 cvw 0630
20110722 204.0 fhw 0630
20110722 207.0 cve 0630
20110722 204.0 fhw 0700
20110722 205.0 fhe 0700
20110722 206.0 cvw 0700
20110722 207.0 cve 0700
20110722 204.0 fhw 0730
20110722 207.0 cve 0730
20110722 205.0 fhe 0730
20110722 32.0 wal 0730
20110722 206.0 cvw 0730
20110722 204.0 fhw 0800
20110722 207.0 cve 0800
20110722 205.0 fhe 0800
20110722 206.0 cvw 0800
20110722 204.0 fhw 0830
20110722 207.0 cve 0830
20110722 205.0 fhe 0830
20110722 206.0 cvw 0830
20110723 205.0 fhe 0630
20110723 206.0 cvw 0630
20110723 204.0 fhw 0630
20110723 207.0 cve 0630
20110723 204.0 fhw 0730
20110723 207.0 cve 0730
20110723 205.0 fhe 0730
20110723 206.0 cvw 0730
20110723 204.0 fhw 0800
20110723 207.0 cve 0800
20110723 205.0 fhe 0800
20110723 206.0 cvw 0800
20110723 206.0 cvw 0930
20110723 204.0 fhw 0930
20110723 207.0 cve 0930
20110723 205.0 fhe 0930
20110725 204.0 fhw 0800
20110725 207.0 cve 0800
20110725 205.0 fhe 0800
20110725 206.0 cvw 0800
20110725 204.0 fhw 0830
20110725 206.0 cvw 0830
20110725 207.0 cve 0830
20110725 205.0 fhe 0830
20110801 32.0 wal 0500
20110801 204.0 fhw 0500
20110801 207.0 cve 0500
20110801 205.0 fhe 0500
20110801 32.0 wal 0530
20110801 206.0 cvw 0530
20110801 204.0 fhw 0530
20110801 207.0 cve 0530
20110801 205.0 fhe 0530
20110801 206.0 cvw 0600
20110801 204.0 fhw 0600
20110801 207.0 cve 0600
20110801 205.0 fhe 0600
20110801 204.0 fhw 0730
20110801 205.0 fhe 0730
20110801 206.0 cvw 0730
20110801 207.0 cve 0730
20110806 207.0 cve 0100
20110806 204.0 fhw 0100
20110806 205.0 fhe 0100
20110806 32.0 wal 0100
20110806 206.0 cvw 0200
20110806 207.0 cve 0200
20110806 204.0 fhw 0200
20110806 205.0 fhe 0200
20110806 32.0 wal 0200
20110806 206.0 cvw 0230
20110806 207.0 cve 0230
20110806 204.0 fhw 0230
20110806 205.0 fhe 0230
20110806 32.0 wal 0230
20110806 206.0 cvw 0300
20110806 207.0 cve 0300
20110806 204.0 fhw 0300
20110806 205.0 fhe 0300
20110806 206.0 cvw 0330
20110806 207.0 cve 0330
20110806 204.0 fhw 0330
20110806 205.0 fhe 0330
20110806 206.0 cvw 0400
20110806 207.0 cve 0400
20110806 204.0 fhw 0400
20110806 205.0 fhe 0400
20110807 206.0 cvw 0600
20110807 204.0 fhw 0600
20110807 207.0 cve 0600
20110807 205.0 fhe 0600
20110809 32.0 wal 0700
20110809 205.0 fhe 0700
20110809 206.0 cvw 0700
20110809 207.0 cve 0700
20110810 207.0 cve 0830
20110810 204.0 fhw 0830
20110810 205.0 fhe 0830
20110810 206.0 cvw 0830
20110814 205.0 fhe 0700
20110814 207.0 cve 0700
20110814 206.0 cvw 0700
20110814 204.0 fhw 0700
20110903 204.0 fhw 0700
20110903 205.0 fhe 0700
20110903 207.0 cve 0700
20110903 32.0 wal 0700
20110904 205.0 fhe 0700
20110904 32.0 wal 0700
20110904 206.0 cvw 0700
20110904 204.0 fhw 0700
20110904 207.0 cve 0700
20110904 204.0 fhw 0730
20110904 207.0 cve 0730
20110904 205.0 fhe 0730
20110904 32.0 wal 0730
20110904 206.0 cvw 0730
20110910 206.0 cvw 0200
20110910 207.0 cve 0200
20110910 204.0 fhw 0200
20110910 205.0 fhe 0200
20110910 32.0 wal 0200
20110910 206.0 cvw 0230
20110910 204.0 fhw 0230
20110910 207.0 cve 0230
20110910 205.0 fhe 0230
20110910 204.0 fhw 0300
20110910 206.0 cvw 0300
20110910 207.0 cve 0300
20110910 205.0 fhe 0300
20110912 32.0 wal 0400
20110912 206.0 cvw 0400
20110912 204.0 fhw 0400
20110912 207.0 cve 0400
20110912 205.0 fhe 0400
20110912 32.0 wal 0430
20110912 206.0 cvw 0430
20110912 207.0 cve 0430
20110912 204.0 fhw 0430
20110912 205.0 fhe 0430
20110912 206.0 cvw 0500
20110912 204.0 fhw 0500
20110912 207.0 cve 0500
20110912 205.0 fhe 0500
20110912 206.0 cvw 0530
20110912 204.0 fhw 0530
20110912 207.0 cve 0530
20110912 205.0 fhe 0530
20110913 206.0 cvw 0230
20110913 204.0 fhw 0230
20110913 207.0 cve 0230
20110913 205.0 fhe 0230
20110913 32.0 wal 0230
20110913 206.0 cvw 0300
20110913 204.0 fhw 0300
20110913 207.0 cve 0300
20110913 205.0 fhe 0300
20110913 32.0 wal 0300
20110913 206.0 cvw 0400
20110913 204.0 fhw 0400
20110913 207.0 cve 0400
20110913 205.0 fhe 0400
20110920 205.0 fhe 0600
20110920 206.0 cvw 0600
20110920 204.0 fhw 0600
20110920 207.0 cve 0600
20110920 205.0 fhe 0630
20110920 206.0 cvw 0630
20110920 204.0 fhw 0630
20110920 207.0 cve 0630
20110920 204.0 fhw 0830
20110920 206.0 cvw 0830
20110920 207.0 cve 0830
20110920 205.0 fhe 0830
20110920 204.0 fhw 0900
20110920 206.0 cvw 0900
20110920 207.0 cve 0900
20110920 205.0 fhe 0900
20110927 206.0 cvw 0100
20110927 207.0 cve 0100
20110927 204.0 fhw 0100
20110927 205.0 fhe 0100
20110927 32.0 wal 0100
20110927 206.0 cvw 0130
20110927 207.0 cve 0130
20110927 204.0 fhw 0130
20110927 205.0 fhe 0130
20110927 32.0 wal 0130
20110927 204.0 fhw 0200
20110927 206.0 cvw 0200
20110927 207.0 cve 0200
20110927 205.0 fhe 0200
20110927 32.0 wal 0200
20110927 206.0 cvw 0230
20110927 204.0 fhw 0230
20110927 207.0 cve 0230
20110927 32.0 wal 0230
20110927 206.0 cvw 0300
20110927 204.0 fhw 0300
20110927 207.0 cve 0300
20110927 205.0 fhe 0300
20110927 206.0 cvw 0330
20110927 207.0 cve 0330
20110927 204.0 fhw 0330
20110927 205.0 fhe 0330
20110927 32.0 wal 0400
20110927 204.0 fhw 0400
20110927 207.0 cve 0400
20110927 205.0 fhe 0400
20110928 206.0 cvw 0500
20110928 204.0 fhw 0500
20110928 207.0 cve 0500
20110928 205.0 fhe 0500
20110929 206.0 cvw 0230
20110929 207.0 cve 0230
20110929 205.0 fhe 0230
20110929 32.0 wal 0230
20110929 206.0 cvw 0300
20110929 204.0 fhw 0300
20110929 207.0 cve 0300
20110929 205.0 fhe 0300
20110929 32.0 wal 0300
20110929 206.0 cvw 0330
