dateStr time radId
20110913 300 204.0
20110913 300 207.0
20110913 300 205.0
20110913 300 32.0
20110913 400 206.0
20110913 400 204.0
20110913 400 207.0
20110913 400 205.0
20110920 600 205.0
20110920 600 206.0
20110920 600 204.0
20110920 600 207.0
20110920 630 205.0
20110920 630 206.0
20110920 630 204.0
20110920 630 207.0
20110920 830 204.0
20110920 830 206.0
20110920 830 207.0
20110920 830 205.0
20110920 900 204.0
20110920 900 206.0
20110920 900 207.0
20110920 900 205.0
20110927 100 206.0
20110927 100 207.0
20110927 100 204.0
20110927 100 205.0
20110927 100 32.0
20110927 130 206.0
20110927 130 207.0
20110927 130 204.0
20110927 130 205.0
20110927 130 32.0
20110927 200 204.0
20110927 200 206.0
20110927 200 207.0
20110927 200 205.0
20110927 200 32.0
20110927 230 206.0
20110927 230 204.0
20110927 230 207.0
20110927 230 32.0
20110927 300 206.0
20110927 300 204.0
20110927 300 207.0
20110927 300 205.0
20110927 330 206.0
20110927 330 207.0
20110927 330 204.0
20110927 330 205.0
20110927 400 32.0
20110927 400 204.0
20110927 400 207.0
20110927 400 205.0
20110928 500 206.0
20110928 500 204.0
20110928 500 207.0
20110928 500 205.0
20110929 230 206.0
20110929 230 207.0
20110929 230 205.0
20110929 230 32.0
20110929 300 206.0
20110929 300 204.0
20110929 300 207.0
20110929 300 205.0
20110929 300 32.0
20110929 330 206.0
20110929 330 204.0
20110929 330 207.0
20110929 330 205.0
20110929 530 206.0
20110929 530 207.0
20110929 530 204.0
20110929 530 205.0
20111001 530 205.0
20111001 530 32.0
20111001 530 206.0
20111001 530 204.0
20111001 530 207.0
20111001 600 205.0
20111001 600 32.0
20111001 600 204.0
20111001 600 206.0
20111001 600 207.0
20111007 730 204.0
20111007 730 207.0
20111007 730 205.0
20111007 730 206.0
20111007 800 204.0
20111007 800 207.0
20111007 800 205.0
20111007 800 206.0
20111009 600 205.0
20111009 600 206.0
20111009 600 204.0
20111009 600 207.0
20111009 630 205.0
20111009 630 207.0
20111009 630 32.0
20111009 630 206.0
20111009 630 204.0
20111009 700 204.0
20111009 700 207.0
20111009 700 205.0
20111009 700 206.0
20111009 730 204.0
20111009 730 207.0
20111009 730 205.0
20111009 730 206.0
20111013 530 205.0
20111013 530 206.0
20111013 530 207.0
20111013 530 204.0
20111013 600 205.0
20111013 600 206.0
20111013 600 204.0
20111013 600 207.0
20111025 230 206.0
20111025 230 207.0
20111025 230 204.0
20111025 230 33.0
20111025 230 205.0
20111025 300 206.0
20111025 300 204.0
20111025 300 207.0
20111025 300 33.0
20111025 300 205.0
20111025 730 204.0
20111025 730 207.0
20111025 730 33.0
20111025 730 32.0
20111025 730 206.0
20111025 900 206.0
20111025 900 204.0
20111025 900 207.0
20111025 900 33.0
20111025 900 205.0
20111025 930 206.0
20111025 930 207.0
20111025 930 204.0
20111025 930 33.0
20111025 930 205.0
20111025 1030 206.0
20111025 1030 204.0
20111025 1030 207.0
20111025 1030 33.0
20111101 500 207.0
20111101 500 204.0
20111101 500 33.0
20111101 500 205.0
20120123 30 206.0
20120123 30 207.0
20120123 30 205.0
20120123 30 33.0
20120123 30 32.0
20120123 200 206.0
20120123 200 207.0
20120123 200 204.0
